id,Nama,Age,Balanced,No 2b Thread-No,No 3 Thread-No,Previous Balanced,Average Balanced,No 1 Thread-No,Free Transfer,No 2a Thread-No
1,Liam,36,232,,,164,180.5,,2,
2,Noah,39,220,,,71,128.0,,3,
3,Oliver,51,88,,,81,79.5,,4,
4,Elijah,39,62,,,106,79.0,,1,
5,William,34,126,,,61,88.5,,9,
6,James,30,77,,,142,104.5,,4,
7,Benjamin,46,225,,,126,158.0,,3,
8,Lucas,24,130,,,191,155.5,,5,
9,Henry,37,217,,,104,143.0,,4,
10,Alexander,44,221,,,143,164.5,,2,
11,Mason,21,200,,,182,173.5,,0,
12,Michael,31,192,,,149,153.0,,2,
13,Ethan,41,120,,,180,145.0,,9,
14,Daniel,44,109,,,84,91.5,,3,
15,Jacob,28,86,,,181,128.5,,1,
16,Logan,21,85,,,173,124.0,,2,
17,Jackson,37,155,,,116,130.5,,8,
18,Levi,29,67,,,83,70.0,,2,
19,Sebastian,33,152,,,88,115.0,,6,
20,Mateo,47,231,,,200,198.0,,3,
21,Jack,37,195,,,119,139.5,,3,
22,Owen,43,65,,,65,60.0,,4,
23,Theodore,32,216,,,102,141.5,,3,
24,Aiden,50,128,,,128,123.0,,7,
25,Samuel,39,93,,,64,73.5,,3,
26,Joseph,52,193,,,123,140.5,,1,
27,John,49,223,,,104,146.0,,4,
28,David,47,134,,,139,131.5,,5,
29,Wyatt,40,94,,,119,101.5,,2,
30,Matthew,39,67,,,64,60.5,,1,
31,Luke,26,154,,,82,113.0,,8,
32,Asher,30,143,,,73,103.0,,5,
33,Carter,45,186,,,191,171.0,,0,
34,Julian,48,111,,,152,126.5,,9,
35,Grayson,31,130,,,150,135.0,,8,
36,Leo,34,215,,,175,177.5,,1,
37,Jayden,21,61,,,179,115.0,,3,
38,Gabriel,46,67,,,129,93.0,,0,
39,Isaac,45,142,,,82,107.0,,6,
40,Lincoln,24,145,,,152,143.5,,9,
41,Anthony,27,192,,,177,167.0,,2,
42,Hudson,45,98,,,105,96.5,,3,
43,Dylan,29,234,,,182,190.5,,2,
44,Ezra,22,75,,,177,121.0,,0,
45,Thomas,31,90,,,93,86.5,,3,
46,Charles,44,89,,,127,103.0,,0,
47,Christopher,31,229,,,122,158.0,,3,
48,Jaxon,41,74,,,128,96.0,,1,
49,Maverick,40,76,,,147,106.5,,4,
50,Josiah,43,155,,,74,109.5,,9,
51,Isaiah,20,220,,,152,168.5,,2,
52,Andrew,51,159,,,137,143.0,,9,
53,Elias,45,215,,,102,141.0,,4,
54,Joshua,46,133,,,100,111.5,,6,
55,Nathan,53,129,,,118,118.5,,7,
56,Caleb,23,191,,,122,139.0,,0,
57,Ryan,33,202,,,64,115.5,,3,
58,Adrian,40,191,,,77,116.5,,0,
59,Miles,32,124,,,134,124.0,,5,
60,Eli,23,72,,,170,116.0,,3,
61,Nolan,20,132,,,91,106.5,,7,
62,Christian,21,216,,,81,131.0,,2,
63,Aaron,21,155,,,124,134.5,,9,
64,Cameron,29,229,,,174,184.0,,1,
65,Ezekiel,50,149,,,112,125.5,,9,
66,Colton,27,143,,,154,143.5,,8,
67,Luca,29,63,,,96,74.5,,4,
68,Landon,52,224,,,100,144.5,,2,
69,Hunter,36,190,,,82,118.5,,2,
70,Jonathan,37,73,,,171,117.0,,2,
71,Santiago,43,128,,,154,136.0,,8,
72,Axel,31,136,,,95,110.5,,7,
73,Easton,46,101,,,168,129.5,,1,
74,Cooper,43,116,,,197,151.5,,7,
75,Jeremiah,30,104,,,191,142.5,,2,
76,Angel,28,92,,,124,103.0,,2,
77,Roman,52,120,,,73,91.5,,7,
78,Connor,28,107,,,163,130.0,,1,
79,Jameson,48,231,,,186,191.0,,4,
80,Robert,40,133,,,102,112.5,,9,
81,Greyson,32,188,,,155,154.0,,4,
82,Jordan,49,118,,,102,105.0,,9,
83,Ian,40,84,,,136,105.0,,4,
84,Carson,41,104,,,92,93.0,,4,
85,Jaxson,44,111,,,158,129.5,,8,
86,Leonardo,35,132,,,104,113.0,,6,
87,Nicholas,53,193,,,62,110.0,,3,
88,Dominic,50,123,,,66,89.5,,9,
89,Austin,21,130,,,96,108.0,,9,
90,Everett,51,105,,,190,142.5,,2,
91,Brooks,20,193,,,103,130.5,,0,
92,Xavier,20,136,,,103,114.5,,5,
93,Kai,39,222,,,64,125.5,,0,
94,Jose,38,139,,,148,138.5,,7,
95,Parker,39,154,,,154,149.0,,9,
96,Adam,39,142,,,59,95.5,,7,
97,Jace,28,212,,,160,168.5,,3,
98,Wesley,44,147,,,70,103.5,,8,
99,Kayden,29,96,,,50,68.0,,1,
100,Silas,30,133,,,86,104.5,,6,
101,Bennett,50,50,,,178,114.0,,3,
102,Declan,24,53,,,134,93.5,,4,
103,Waylon,37,99,,,84,91.5,,4,
104,Weston,47,51,,,148,99.5,,3,
105,Evan,29,207,,,199,190.5,,1,
106,Emmett,23,71,,,191,131.0,,2,
107,Micah,50,224,,,51,125.0,,0,
108,Ryder,46,89,,,167,128.0,,2,
109,Beau,31,77,,,52,64.5,,2,
110,Damian,28,64,,,177,120.5,,1,
111,Brayden,26,214,,,173,181.0,,3,
112,Gael,45,140,,,119,129.5,,8,
113,Rowan,52,121,,,159,140.0,,8,
114,Harrison,39,197,,,136,154.0,,4,
115,Bryson,49,50,,,177,113.5,,4,
116,Sawyer,47,127,,,93,110.0,,7,
117,Amir,25,85,,,59,72.0,,0,
118,Kingston,42,50,,,167,108.5,,3,
119,Jason,35,88,,,51,69.5,,3,
120,Giovanni,39,105,,,111,108.0,,5,
121,Vincent,25,135,,,51,93.0,,6,
122,Ayden,39,122,,,168,145.0,,5,
123,Chase,48,135,,,153,144.0,,5,
124,Myles,40,138,,,80,109.0,,8,
125,Diego,24,117,,,64,90.5,,8,
126,Nathaniel,42,137,,,197,167.0,,8,
127,Legend,21,96,,,103,99.5,,2,
128,Jonah,51,97,,,95,96.0,,4,
129,River,52,201,,,159,167.5,,3,
130,Tyler,20,66,,,142,104.0,,3,
131,Cole,29,55,,,165,110.0,,4,
132,Braxton,23,185,,,80,120.0,,4,
133,George,39,123,,,65,94.0,,6,
134,Milo,29,206,,,198,189.5,,1,
135,Zachary,29,78,,,78,78.0,,0,
136,Ashton,23,59,,,61,60.0,,4,
137,Luis,53,134,,,74,104.0,,7,
138,Jasper,50,102,,,122,112.0,,7,
139,Kaiden,23,210,,,165,175.0,,0,
140,Adriel,28,104,,,53,78.5,,8,
141,Gavin,26,204,,,117,148.0,,3,
142,Bentley,49,134,,,195,164.5,,5,
143,Calvin,42,145,,,200,172.5,,7,
144,Zion,48,67,,,57,62.0,,4,
145,Juan,45,129,,,115,122.0,,7,
146,Maxwell,34,58,,,189,123.5,,1,
147,Max,30,180,,,156,155.5,,3,
148,Ryker,29,137,,,104,120.5,,5,
149,Carlos,22,112,,,179,145.5,,7,
150,Emmanuel,43,110,,,119,114.5,,7,
151,Jayce,44,90,,,126,108.0,,3,
152,Lorenzo,47,137,,,105,121.0,,8,
153,Ivan,42,70,,,139,104.5,,1,
154,Jude,49,66,,,121,93.5,,0,
155,August,27,147,,,76,111.5,,7,
156,Kevin,40,131,,,110,120.5,,6,
157,Malachi,20,86,,,69,77.5,,4,
158,Elliott,39,206,,,147,164.0,,2,
159,Rhett,45,200,,,156,165.5,,1,
160,Archer,24,202,,,69,123.0,,4,
161,Karter,42,113,,,52,82.5,,9,
162,Arthur,40,186,,,82,121.5,,4,
163,Luka,20,119,,,73,96.0,,8,
164,Elliot,24,139,,,58,98.5,,9,
165,Thiago,23,78,,,68,73.0,,4,
166,Brandon,27,116,,,120,118.0,,6,
167,Camden,45,139,,,148,143.5,,8,
168,Justin,22,109,,,98,103.5,,6,
169,Jesus,25,225,,,94,147.0,,1,
170,Maddox,27,128,,,148,138.0,,7,
171,King,32,99,,,183,141.0,,2,
172,Theo,28,52,,,84,68.0,,1,
173,Enzo,39,132,,,60,96.0,,9,
174,Matteo,30,58,,,192,125.0,,4,
175,Emiliano,51,202,,,144,160.5,,4,
176,Dean,45,202,,,191,184.0,,0,
177,Hayden,39,118,,,195,156.5,,8,
178,Finn,34,122,,,79,100.5,,7,
179,Brody,52,59,,,190,124.5,,4,
180,Antonio,32,179,,,62,108.0,,1,
181,Abel,40,148,,,188,168.0,,8,
182,Alex,34,76,,,67,71.5,,2,
183,Tristan,30,131,,,119,125.0,,5,
184,Graham,51,93,,,61,77.0,,1,
185,Zayden,31,91,,,102,96.5,,4,
186,Judah,27,137,,,113,125.0,,6,
187,Xander,44,65,,,159,112.0,,4,
188,Miguel,35,177,,,112,132.0,,0,
189,Atlas,48,145,,,144,144.5,,9,
190,Messiah,27,67,,,66,66.5,,2,
191,Barrett,21,88,,,144,116.0,,3,
192,Tucker,25,204,,,185,182.0,,3,
193,Timothy,32,132,,,63,97.5,,6,
194,Alan,40,97,,,51,74.0,,4,
195,Edward,45,137,,,104,120.5,,9,
196,Leon,53,65,,,197,131.0,,1,
197,Dawson,24,107,,,151,129.0,,6,
198,Eric,47,130,,,73,101.5,,7,
199,Ace,32,192,,,101,134.0,,3,
200,Victor,53,60,,,148,104.0,,2,
