id,Nama,Age,Balanced,No 2b Thread-No,No 3 Thread-No,Previous Balanced,Average Balanced,No 1 Thread-No,Free Transfer,No 2a Thread-No
1,Liam,36,232,1,,164,180.5,1,2,1
2,Noah,39,220,1,,71,128.0,1,3,1
3,Oliver,51,88,1,,81,79.5,1,4,1
4,Elijah,39,62,1,,106,79.0,1,1,1
5,William,34,126,1,,61,88.5,1,9,1
6,James,30,77,1,,142,104.5,1,4,1
7,Benjamin,46,225,1,,126,158.0,1,3,1
8,Lucas,24,130,1,,191,155.5,1,5,1
9,Henry,37,217,1,,104,143.0,1,4,1
10,Alexander,44,221,1,,143,164.5,1,2,1
11,Mason,21,200,1,,182,173.5,1,0,1
12,Michael,31,192,1,,149,153.0,1,2,1
13,Ethan,41,120,1,,180,145.0,1,9,1
14,Daniel,44,109,1,,84,91.5,1,3,1
15,Jacob,28,86,1,,181,128.5,1,1,1
16,Logan,21,85,1,,173,124.0,1,2,1
17,Jackson,37,155,1,,116,130.5,1,8,1
18,Levi,29,67,1,,83,70.0,1,2,1
19,Sebastian,33,152,1,,88,115.0,1,6,1
20,Mateo,47,231,1,,200,198.0,1,3,1
21,Jack,37,195,1,,119,139.5,1,3,1
22,Owen,43,65,1,,65,60.0,1,4,1
23,Theodore,32,216,1,,102,141.5,1,3,1
24,Aiden,50,128,1,,128,123.0,1,7,1
25,Samuel,39,93,1,,64,73.5,1,3,1
26,Joseph,52,193,1,,123,140.5,1,1,1
27,John,49,223,1,,104,146.0,1,4,1
28,David,47,134,1,,139,131.5,1,5,1
29,Wyatt,40,94,1,,119,101.5,1,2,1
30,Matthew,39,67,1,,64,60.5,1,1,1
31,Luke,26,154,1,,82,113.0,1,8,1
32,Asher,30,143,1,,73,103.0,1,5,1
33,Carter,45,186,1,,191,171.0,1,0,1
34,Julian,48,111,1,,152,126.5,1,9,1
35,Grayson,31,130,1,,150,135.0,1,8,1
36,Leo,34,215,1,,175,177.5,1,1,1
37,Jayden,21,61,1,,179,115.0,1,3,1
38,Gabriel,46,67,1,,129,93.0,1,0,1
39,Isaac,45,142,1,,82,107.0,1,6,1
40,Lincoln,24,145,1,,152,143.5,1,9,1
41,Anthony,27,192,1,,177,167.0,1,2,1
42,Hudson,45,98,1,,105,96.5,1,3,1
43,Dylan,29,234,1,,182,190.5,1,2,1
44,Ezra,22,75,1,,177,121.0,1,0,1
45,Thomas,31,90,1,,93,86.5,1,3,1
46,Charles,44,89,1,,127,103.0,1,0,1
47,Christopher,31,229,1,,122,158.0,1,3,1
48,Jaxon,41,74,1,,128,96.0,1,1,1
49,Maverick,40,76,1,,147,106.5,1,4,1
50,Josiah,43,155,1,,74,109.5,1,9,1
